,GAME_ID,TEAM_NAME,PTS,WINNER,DEFLECTIONS_RATIO,DEFLECTIONS_DIFF,CONTEST_RATE,CONTEST_RATE_2,CONTEST_RATE_3,CHARGES_RATIO,CHARGES_DIFF,SCREEN_AST_RATIO,SCREEN_AST_DIFF,SCREEN_AST_PTS_RATIO,SCREEN_AST_PTS_DIFF,LOOSE_RATIO,LOOSE_DIFFERENCE,OFF_BOXOUT_RATIO,OFF_BOXOUT_DIFF,DEF_BOXOUT_RATIO,DEF_BOXOUT_DIFF,BOXOUT_TM_RBS_RATIO,BOXOUT_TM_RBS_DIFF
0,21800001,76ers,87,0,1.0,2,0.5670103092783505,0.5166666666666667,0.6486486486486487,0.0,-1,0.5294117647058824,1,0.5405405405405406,3,1.0,1,0.36363636363636365,-3,0.46511627906976744,-3,0.2692307692307692,-12
1,21800001,Celtics,105,1,0.0,-2,0.5632183908045977,0.5409836065573771,0.6153846153846154,1.0,1,0.47058823529411764,-1,0.4594594594594595,-3,0.0,-1,0.6363636363636364,3,0.5348837209302325,3,0.7307692307692307,12
2,21800002,Thunder,100,0,0.0,0,0.7157894736842105,0.7101449275362319,0.7307692307692307,0.0,0,0.4782608695652174,-1,0.4909090909090909,-1,0.0,-2,0.8461538461538461,9,0.33707865168539325,-29,0.36,-14
3,21800002,Warriors,108,1,0.0,0,0.7472527472527473,0.7962962962962963,0.6756756756756757,0.0,0,0.5217391304347826,1,0.509090909090909,1,1.0,2,0.15384615384615385,-9,0.6629213483146067,29,0.64,14
4,21800003,Bucks,113,1,0.7222222222222222,8,0.7282608695652174,0.7222222222222222,0.7368421052631579,0.3333333333333333,-1,0.23529411764705882,-9,0.24390243902439024,-21,0.4166666666666667,-2,0.625,2,0.5571428571428572,8,0.631578947368421,10
5,21800003,Hornets,112,0,0.2777777777777778,-8,0.8117647058823529,0.7450980392156863,0.9117647058823529,0.6666666666666666,1,0.7647058823529411,9,0.7560975609756098,21,0.5833333333333334,2,0.375,-2,0.44285714285714284,-8,0.3684210526315789,-10
6,21800004,Nets,100,0,0.0,-1,0.6630434782608695,0.6764705882352942,0.625,0.0,-2,0.5666666666666667,4,0.5396825396825397,5,0.0,0,0.2,-3,0.5576923076923077,6,0.5555555555555556,4
7,21800004,Pistons,103,1,1.0,1,0.5853658536585366,0.509090909090909,0.7407407407407407,1.0,2,0.43333333333333335,-4,0.4603174603174603,-5,0.0,0,0.8,3,0.4423076923076923,-6,0.4444444444444444,-4
8,21800005,Grizzlies,83,0,0.8333333333333334,4,0.6867469879518072,0.6140350877192983,0.8461538461538461,0.0,-1,0.21428571428571427,-8,0.18181818181818182,-21,0.0,-5,0.2857142857142857,-6,0.45901639344262296,-5,0.3333333333333333,-11
9,21800005,Pacers,111,1,0.16666666666666666,-4,0.6904761904761905,0.6181818181818182,0.8275862068965517,1.0,1,0.7857142857142857,8,0.8181818181818182,21,1.0,5,0.7142857142857143,6,0.5409836065573771,5,0.6666666666666666,11
